"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards_schema","uid","front","back","pack","known","date","notes","last_repetition"
"cards","8093","dat",".","70","0","1749381835","**dat** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dat/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dat)","0"
"cards","8094","de",".","70","0","1749381835","**de** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/de/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=de)","0"
"cards","8095","een",".","70","0","1749381835","**een** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/een/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=een)","0"
"cards","8096","en",".","70","0","1749381835","**en** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/en/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=en)","0"
"cards","8097","het",".","70","0","1749381835","**het** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/het/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=het)","0"
"cards","8098","in",".","70","0","1749381835","**in** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/in/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=in)","0"
"cards","8099","op",".","70","0","1749381835","**op** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/op/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=op)","0"
"cards","8100","te",".","70","0","1749381835","**te** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/te/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=te)","0"
"cards","8101","van",".","70","0","1749381835","**van** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/van/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=van)","0"
"cards","8102","zijn",".","70","0","1749381835","**zijn** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/zijn/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=zijn)","0"
"cards","8103","aantal",".","73","1","1749381835","**aantal** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/aantal/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=aantal)","0"
"cards","8104","af","auf","73","0","1749381835","**af** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/af/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=af)","0"
"cards","8105","alle",".","73","1","1749381835","**alle** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/alle/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=alle)","0"
"cards","8106","alleen",".","73","1","1749381835","**alleen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/alleen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=alleen)","0"
"cards","8107","altijd",".","73","1","1749381835","**altijd** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/altijd/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=altijd)","0"
"cards","8108","ander","andere","73","0","1749381835","**ander** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/ander/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=ander)","0"
"cards","8109","daar","dort","73","0","1749381835","**daar** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/daar/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=daar)","0"
"cards","8110","doen",".","73","0","1749381835","**doen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/doen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=doen)","0"
"cards","8111","drie",".","73","0","1749381835","**drie** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/drie/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=drie)","0"
"cards","8112","dus",".","73","0","1749381835","**dus** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dus/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dus)","0"
"cards","8113","eerst",".","73","0","1749381835","**eerst** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/eerst/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=eerst)","0"
"cards","8114","eigen",".","73","0","1749381835","**eigen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/eigen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=eigen)","0"
